店名,評分,日間價位,夜間價位,Blog
貴仙 2号店,3.38,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1305/A130501/13129278/
タントビーノ,3.20,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1320/A132001/13171410/
個室居酒屋 番屋 神田駅前店,3.14,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1310/A131002/13021453/
新宿三丁目 う福,3.08,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1304/A130401/13241506/
ヴェトナム・アリス 銀座店,3.58,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13004096/
完全個室居酒屋 燻製工房 立川駅前店,-,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1329/A132901/13240436/
ねぎ間家 串坊,-,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1301/A130103/13245129/
台湾もつ鍋本舗 もつ小屋,3.09,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1318/A131802/13234431/
炭火とワイン ジビーノ 門前仲町店,3.19,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1313/A131303/13205860/
Jlio,3.42,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1329/A132901/13162848/
ビ リンダ,3.07,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1313/A131303/13218001/
厨 七代目松五郎,3.51,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130301/13147124/
シュガー スプーン 日本橋店,3.43,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1302/A130202/13037570/
焼肉・韓国料理 牛べえ 麻布十番本店,-,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1307/A130702/13246418/
和楽庵 はなれ,3.23,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1311/A131101/13223767/
チアカウンター,3.43,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1307/A130701/13126763/
ジャンルにとらわれない飲食店 セカンドらいふ,3.08,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1324/A132401/13151401/
TENHO餃子酒場,3.27,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1319/A131903/13183484/
蟹道・楽座 渋谷,3.08,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130301/13238369/
くずし割烹 キンサク,3.01,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1315/A131504/13241261/
土古里 上野バンブーガーデン店,3.40,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1311/A131101/13025511/
福よし 六本木店,3.08,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1307/A130701/13240640/
宇田川鳥,3.02,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130301/13242111/
IZAKAYA 場琉 GOO,3.24,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1305/A130501/13175064/
モダン和食×個室 Nagai 神田本店,3.26,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1310/A131002/13231613/
銀座むらき,3.34,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1301/A130101/13014857/
金のバル SALVA 吉祥寺店,3.08,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1320/A132001/13233634/
Rotie 門前仲町,3.32,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1313/A131303/13019722/
みつい,3.09,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1304/A130401/13194824/
分讃岐うどんあ季 時譚,3.31,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1312/A131201/13215521/
炭火焼肉 新宿 柳苑,3.39,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1304/A130401/13029111/
カタマリ肉ステーキ＆サラダバー にくスタ 羽田大鳥居店,3.19,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1315/A131504/13212265/
ゆかり AKIBA-ICHI店,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1310/A131001/13021935/
串バー 山三,3.17,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1311/A131102/13174425/
ボルネ,3.14,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130301/13130338/
全席個室居酒屋 忍家 国立店,3.01,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1325/A132503/13159813/
ホルモンそう,3.26,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1323/A132305/13179386/
中華 四川料理 WANG'S GARDEN 大崎ブライトコア店,3.25,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1316/A131603/13185063/
Bistro plein AZABU,3.01,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1307/A130702/13243708/
パパミラノ 東京国際フォーラム店,3.18,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130102/13010970/
蘑菇火鍋 四谷三丁目店,3.04,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1309/A130903/13110719/
原価ビストロBAN！ 吉祥寺,3.01,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1320/A132001/13239294/
産直青魚専門 渋谷 御厨,3.35,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130301/13195448/
和民 大鳥居店,3.01,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1315/A131504/13053015/
ファンケル ブラウンライス ミイルズ,3.09,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1301/A130101/13239443/
肉汁餃子と小籠包 三茶 ツツミずき,3.09,-,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1317/A131706/13241438/
鮮魚・和紙しゃぶ 虎てつ 田町店,3.28,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1314/A131402/13167074/
ha-ha 1coin dining bar & cafe,3.21,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1305/A130501/13018990/
カフェ&バール 1363,3.19,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1309/A130905/13194920/
ビオディナミ 吉祥寺店,3.38,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1320/A132001/13182647/
居酒屋 たなか畜産 目黒店,3.31,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1316/A131601/13234605/
One Heart,3.41,～￥999,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1302/A130203/13130205/
ワイン酒場 GabuLicious 銀座,3.22,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13140019/
東京コトブキ お茶の水店,3.24,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1310/A131002/13224968/
ブア・デ・タイ,3.47,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130103/13141125/
焼肉スタジアム JAN 池袋東口店,3.13,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1305/A130501/13155966/
香水亭 六本木本店,3.38,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1307/A130701/13194524/
和牛もつ鍋と博多炊き餃子 九州に惚れちょるばい 赤羽店,3.26,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1323/A132305/13198184/
三田 竹若,3.50,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1314/A131402/13014120/
にっぽんのひとさら,3.40,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1301/A130102/13207273/
炭火串焼き 鶏料理 富所,3.06,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1319/A131903/13237110/
セ シュエット,3.31,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1308/A130803/13004988/
個室居酒屋 三郎 水道橋店,3.15,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1310/A131003/13207861/
クラフトビアマーケット 淡路町店,3.34,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1310/A131002/13160818/
